FlightDate,FlightNo,Origin,Destination,Aircraft,MaxCapacity_kg,ActualLoad_kg,LoadFactor_pct,Revenue_USD
2024-11-23,EK9242,DXB,JFK,B777F,103000,87962.0,85.4,216492.78
2024-02-22,EK9532,DXB,DEL,B777-200LRF,97000,89337.0,92.1,181777.11
2024-01-17,EK9127,DXB,LHR,B777F,103000,63654.0,61.8,201430.49
2024-10-14,EK9325,DXB,SIN,B777-200LRF,97000,78764.0,81.2,257663.98
2024-08-17,EK9925,DXB,BOM,B747-8F,134000,118456.0,88.4,215299.31
2024-03-22,EK9881,DXB,CGO,B747-8F,134000,90182.0,67.3,200185.52
2024-06-21,EK9452,DXB,JFK,B777F,103000,71173.0,69.1,197095.43
2024-11-05,EK9487,DXB,SYD,B777F,103000,87344.0,84.8,283677.23
2024-02-10,EK9982,DXB,CDG,B747-8F,134000,119662.0,89.3,415227.54
2024-07-04,EK9333,DXB,BOM,B777F,103000,86211.0,83.7,165846.33
2024-05-28,EK9564,DXB,JFK,B777F,103000,93730.0,91.0,264912.92
2024-11-21,EK9373,DXB,HKG,B777F,103000,70761.0,68.7,167397.1
2024-12-25,EK9646,DXB,DEL,B777-200LRF,97000,53544.0,55.2,188177.25
2024-05-05,EK9755,DXB,ORD,B747-8F,134000,92594.0,69.1,414053.8
2024-12-18,EK9894,DXB,CDG,B777F,103000,85284.0,82.8,347592.01
2024-01-29,EK9167,DXB,SIN,B777F,103000,90846.0,88.2,261922.18
2024-04-18,EK9505,DXB,BOM,B777-200LRF,97000,64214.0,66.2,229223.71
2024-11-25,EK9674,DXB,FRA,B777F,103000,65817.0,63.9,162297.76
2024-10-02,EK9508,DXB,SYD,B777-200LRF,97000,75951.0,78.3,320826.27
2024-07-04,EK9148,DXB,SIN,B777F,103000,77147.0,74.9,157800.75
2024-02-26,EK9710,DXB,ORD,B777-200LRF,97000,57424.0,59.2,208868.27
2024-02-02,EK9357,DXB,NRT,B747-8F,134000,105592.0,78.8,323505.87
2024-10-10,EK9649,DXB,LHR,B777-200LRF,97000,81868.0,84.4,298050.11
2024-05-16,EK9564,DXB,DEL,B747-8F,134000,76380.0,57.0,227143.9
2024-01-02,EK9282,DXB,CGO,B777-200LRF,97000,61983.0,63.9,195344.54
2024-09-16,EK9723,DXB,JFK,B777-200LRF,97000,63438.0,65.4,223629.33
2024-04-11,EK9897,DXB,ORD,B747-8F,134000,115642.0,86.3,376567.75
2024-09-28,EK9471,DXB,LHR,B777-200LRF,97000,64602.0,66.6,119680.84
2024-06-06,EK9180,DXB,SIN,B777F,103000,64684.0,62.8,215518.27
2024-02-13,EK9645,DXB,CGO,B747-8F,134000,118858.0,88.7,527795.86
2024-03-05,EK9371,DXB,ORD,B777-200LRF,97000,71198.0,73.4,233847.67
2024-09-27,EK9873,DXB,BOM,B747-8F,134000,127836.0,95.4,550725.98
2024-12-19,EK9765,DXB,SIN,B777-200LRF,97000,64020.0,66.0,287251.55
2024-07-10,EK9165,DXB,FRA,B777-200LRF,97000,70131.0,72.3,173177.65
2024-06-22,EK9107,DXB,LHR,B777-200LRF,97000,74593.0,76.9,252779.89
2024-02-06,EK9132,DXB,CGO,B777-200LRF,97000,52962.0,54.6,104969.67
2024-06-18,EK9319,DXB,JFK,B777-200LRF,97000,60819.0,62.7,219327.91
2024-10-03,EK9584,DXB,ORD,B777-200LRF,97000,91277.0,94.1,305030.97
2024-05-04,EK9541,DXB,FRA,B747-8F,134000,81204.0,60.6,167419.36
2024-06-30,EK9789,DXB,NRT,B747-8F,134000,97820.0,73.0,368635.14
2024-11-30,EK9919,DXB,DEL,B777F,103000,56341.0,54.7,212190.16
2024-02-25,EK9532,DXB,SIN,B777F,103000,62418.0,60.6,187956.61
2024-04-03,EK9553,DXB,SYD,B747-8F,134000,84688.0,63.2,363550.1
2024-10-08,EK9115,DXB,JFK,B777F,103000,83739.0,81.3,272954.59
2024-02-17,EK9985,DXB,SIN,B777F,103000,72409.0,70.3,224443.84
2024-07-24,EK9371,DXB,LHR,B777F,103000,71173.0,69.1,317455.34
2024-08-20,EK9902,DXB,SYD,B747-8F,134000,111622.0,83.3,421078.85
2024-10-11,EK9322,DXB,DEL,B777-200LRF,97000,71683.0,73.9,165783.01
